text,label
"M-PESA: Your account will be locked. Verify now at http://example-login-secure.com/verify",1
"Safaricom: Dear customer, your line will be disconnected unless you update KYC now. Click link.",1
"Your PayPal account is suspended. Confirm your password immediately: http://bit.ly/abc",1
"Congratulations! You have received Ksh 12,500. Claim here: www.secure-mpesa-verify.top",1
"Bank alert: suspicious login detected, reset your password now.",1
"Umetumiwa pesa kimakosa. Tafadhali reverse transaction. Call this number.",1
"Your OTP is 349201. Do not share it with anyone.",0
"Mpesa: Confirmed. You have received Ksh 1,000 from John Doe. New balance Ksh 2,300.",0
"Meeting moved to 2pm. Please confirm attendance.",0
"Invoice attached for January. Please review and advise.",0
"Your delivery arrives tomorrow between 10am and 1pm.",0
"Hello, can you send me the report by end of day?",0
"Netflix: payment failed. Update your card details: http://tinyurl.com/pay",1
"Your account has unusual activity. Verify to avoid suspension.",1
"Thanks for your payment. Receipt #A92KD1. Total Ksh 800.",0
"Reminder: clinic appointment on Monday 9:00am.",0
